books,authors,movies,released_year,imdb_links
"A Good Year (2004),", Peter Mayle,A Good Year,2006,https://www.imdb.com/title/tt0401445/
"Goodbye Piccadilly, Farewell Leicester Square (1969),", Arthur La Bern,Frenzy,1972,https://www.imdb.com/title/tt0068611/
"Goodbye, Mr. Chips (1934),", James Hilton,Goodbye,,
"Goodbye, Mr. Chips (1934),", James Hilton,Mr. Chips,1939,
"Gorky Park (1981),", Martin Cruz Smith,Gorky Park,1983,
"Grand Canary (1933),", A. J. Cronin,Grand Canary,1934,
"The Grapes of Wrath (1939),", John Steinbeck,The Grapes of Wrath,1940,//openlibrary.org/works/OL23205W
"The Great Bank Robbery (1969),", Frank O'Rourke,The Great Bank Robbery,1969,
"The Great Dinosaur Robbery (1970),", David Eliades and Robert Forrest Webb (as David Forrest),One of Our Dinosaurs Is Missing,1975,https://www.imdb.com/title/tt0075016/
Great Expectations (1860–1861) (serial) (1861) (novel),Charles Dickens,Great Expectations,1917,/wiki/Great_Expectations_(1917_film)
"The Great Gatsby (1925),", F. Scott Fitzgerald,The Great Gatsby,1926,/wiki/The_Great_Gatsby_(1926_film)
"The Great Gatsby (1925),", F. Scott Fitzgerald,G,2002,https://commons.wikimedia.org/wiki/G
"The Great Man (1955),", Al Morgan,The Great Man,1956,https://www.imdb.com/title/tt0049280/
"The Great Santini (1976),", Pat Conroy,The Great Santini,1979,https://www.imdb.com/title/tt0079239/
"The Great Train Robbery (1975),", Michael Crichton,The First Great Train Robbery,1979,
"The Great West That Was (1900s),", William  Cody,The Indians are Coming,1930,
"The Great West That Was (1900s),", William  Cody,Rustlers of Red Dog,1935,https://www.imdb.com/title/tt0026960/
"Green for Danger (1944),", Christianna Brand,Green for Danger,1946,
"Green Mansions (1904),", William Henry Hudson,Green Mansions,1959,https://librivox.org/search?title=Green+Mansions&author=HUDSON&reader=&keywords=&genre_id=0&status=all&project_type=either&recorded_language=&sort_order=catalog_date&search_page=1&search_form=advanced
"The Green Mile (1996) (serial/novel),", Stephen King,The Green Mile,1999,
"The Green Years (1944),", A. J. Cronin,The Green Years,1946,/wiki/The_Green_Years_(film)
"The Greengage Summer (1958),", Rumer Godden,The Greengage Summer,1961,https://www.imdb.com/title/tt0055098/
"Grendel (1971),", John Gardner,Grendel Grendel Grendel,1981,https://www.imdb.com/title/tt0082478/
"The Grifters (1963),", Jim Thompson,The Grifters,1990,
"Gros câlin (1974),", (as Émile Ajar),Gros câlin,1979,
"The Grotesque (1989),", Patrick McGrath,The Grotesque,1995,
"The Grotesque (1989),", Patrick McGrath,Gentlemen Don't Eat Poets),,
"The Group (1963),", Mary McCarthy,The Group,1966,
Gruesome School (1991–2006) (series), Paul van Loon,Gruesome School Trip,2005,
"La Guerre des boutons (The War of the Buttons) (1912),", Louis Pergaud,War of the Buttons,1994,
"The Guilty Head (1969),", Romain Gary,Les faussaires,1994,
"Gulliver's Travels (1726),", Jonathan Swift,Le Voyage de Gulliver à Lilliput et chez les géants,1902,
"Gulliver's Travels (1726),", Jonathan Swift,The New Gulliver,1935,https://www.imdb.com/title/tt0026793/
"Gulliver's Travels (1726),", Jonathan Swift,Gulliver's Travels,1939,https://www.gutenberg.org/ebooks/829
"Gulliver's Travels (1726),", Jonathan Swift,The Three Worlds of Gulliver,1960,
"Gulliver's Travels (1726),", Jonathan Swift,Gulliver's Travels Beyond the Moon,1965,https://www.allmovie.com/movie/v94009
"The Guns of Navarone (1957),", Alistair MacLean,The Guns of Navarone,1961,
"Guns of the Timberland (1955),", Louis L'Amour,Guns of the Timberland,1960,https://www.imdb.com/title/tt0053884/
"The Gypsy Moths (1955),", James William Drought (as James Drought),The Gypsy Moths,1969,https://www.tcm.com/tcmdb/title/77191/enwp
"H.M. Pulham, Esquire (1942),", John P. Marquand,H.M. Pulham,,
"H.M. Pulham, Esquire (1942),", John P. Marquand,Esq.,1941,
"Hababam Sınıfı (1975),", Rifat Ilgaz,Hababam Sınıfı,1975,https://www.imdb.com/title/tt0252487/
"A Hall of Mirrors (1967),", Robert Stone,WUSA,1970,
"The Hamlet (1940),", William Faulkner,The Long,,
"The Hamlet (1940),", William Faulkner,Hot Summer,1958,
"Hammers Over the Anvil (1952),", Alan Marshall,Hammers Over the Anvil,1991,http://www.ozmovies.com.au/movie/hammers-over-the-anvil
"The Handmaid's Tale (1985),", Margaret Atwood,The Handmaid's Tale,1990,/wiki/The_Handmaid%27s_Tale_(opera)
"Hannibal (1999),", Thomas Harris,Hannibal,2001,https://archive.org/details/hannibal00ernl_cdu
"Happy Land (1943),", MacKinlay Kantor,Happy Land,1943,
"Happy Dan, The Cynical Dog (1953),", Ward Greene,Lady and the Tramp,1955,https://www.imdb.com/title/tt0048280/
"Happy Dan, The Cynical Dog (1953),", Ward Greene,Lady and the Tramp II: Scamp's Adventure,,https://www.allmovie.com/movie/v220854
"Al-Haram (The Forbidden) (1961),", Yusuf Idris,Al Haram,1965,
"The Harder They Fall (1946),", Budd Schulberg,The Harder They Fall,1956,https://catalog.afi.com/Catalog/moviedetails/51857
"Harry Black (1956),", David Walker,Harry Black,1958,
Harry Potter (1997–2007) (series), J. K. Rowling,Harry Potter and the Philosopher's Stone,2001,https://en.wikiquote.org/wiki/Harry_Potter_and_the_Philosopher%27s_Stone
Harry Potter (1997–2007) (series), J. K. Rowling,Harry Potter and the Chamber of Secrets,2002,
Harry Potter (1997–2007) (series), J. K. Rowling,Harry Potter and the Prisoner of Azkaban,2004,
Harry Potter (1997–2007) (series), J. K. Rowling,Harry Potter and the Goblet of Fire,2005,http://www.wikia.com/wiki/w:c:harrypotter:Harry_Potter_and_the_Goblet_of_Fire
Harry Potter (1997–2007) (series), J. K. Rowling,Harry Potter and the Order of the Phoenix,2007,http://www.wikia.com/wiki/w:c:harrypotter:Harry_Potter_and_the_Order_of_the_Phoenix
Harry Potter (1997–2007) (series), J. K. Rowling,Harry Potter and the Half-Blood Prince,2009,http://www.wikia.com/wiki/w:c:harrypotter:Harry_Potter_and_the_Half-Blood_Prince
Harry Potter (1997–2007) (series), J. K. Rowling,Harry Potter and the Deathly Hallows – Part 1,2010,https://www.imdb.com/title/tt0926084/
Harry Potter (1997–2007) (series), J. K. Rowling,Harry Potter and the Deathly Hallows – Part 2,2011,https://www.imdb.com/title/tt1201607/
"Hart's War (1999),", John Katzenbach,Hart's War,2002,https://www.imdb.com/title/tt0251114/
"The Harvest (1950),", Galina Nikolayeva,The Return of Vasili Bortnikov,1953,https://www.imdb.com/title/tt0045301/
"The Harvey Girls (1942),", Samuel Hopkins Adams,The Harvey Girls,1946,https://catalog.afi.com/Catalog/moviedetails/24810
"Hating Alison Ashley (1984),", Robin Klein,Hating Alison Ashley,2005,
"Hatter's Castle (1931),", A. J. Cronin,Hatter's Castle,1942,/wiki/Hatter%27s_Castle_(film)
"Haunted Harbor (1944),", Ewart Adamson (as Dayle Douglas),Haunted Harbor,1944,https://www.imdb.com/title/tt0036900/
"The Haunting of Hill House (1959),", Shirley Jackson,The Haunting,1963,
"Hawaii (1959),", James A. Michener,Hawaii,1966,https://curlie.org/Regional/North_America/United_States/Hawaii
"Hawaii (1959),", James A. Michener,The Hawaiians,1970,
"Hawk of the Wilderness (1933),", William L. Chester,Hawk of the Wilderness,1938,https://www.imdb.com/title/tt0030219/
"He Ran All the Way (1948),", Sam Ross,He Ran All the Way,1951,https://www.imdb.com/title/tt0043625/
"Header (1995),", Edward Lee,Header,2006,/wiki/Stripper_(agriculture)
"Headhunters (2001),", Jules Bass,Monte Carlo,2011,/wiki/Monte_Carlo_(2011_film)
"The Heart of the Matter (1948),", Graham Greene,The Heart of the Matter,1953,/wiki/The_Heart_of_the_Matter_(film)
"The Heaven Sword and Dragon Saber (1961),", Jin Yong,Heaven Sword and Dragon Sabre,1978,/wiki/Heaven_Sword_and_Dragon_Sabre_(1978_film)
"The Heaven Sword and Dragon Saber (1961),", Jin Yong,The Hidden Power of the Dragon Sabre,1984,https://www.imdb.com/title/tt0087406/
"The Heaven Sword and Dragon Saber (1961),", Jin Yong,Kung Fu Cult Master,1993,https://www.imdb.com/title/tt0108624/
"Heidi (1880),", Johanna Spyri,Heidi,1937,/wiki/Heidi_(1937_film)
"Heidi (1880),", Johanna Spyri,Heidi and Peter,1955,https://www.imdb.com/title/tt0048152/
"Heidi (1880),", Johanna Spyri,The Story of Heidi,1974,
"Heidi (1880),", Johanna Spyri,Heidi's Song,1982,https://www.imdb.com/title/tt0084060/
"Heidi (1880),", Johanna Spyri,Heidi 4 Paws,2008,https://www.imdb.com/title/tt1156448/
"Hell House (1971),", Richard Matheson,The Legend of Hell House,1973,https://www.imdb.com/title/tt0070294/
"The Hellbound Heart (1986),", Clive Barker,Hellraiser,1987,https://www.imdb.com/title/tt0093177/
"Heller with a Gun (1954),", Louis L'Amour,Heller in Pink Tights,1960,https://www.imdb.com/title/tt0053902/
"The Help (2009),", Kathryn Stockett,The Help,2011,/wiki/Category:The_Help
"The Heritage of the Desert (1910),", Zane Grey,Heritage of the Desert,1924,
"The High and the Mighty (1953),", Ernest K. Gann,The High and the Mighty,1954,
"High Fidelity (1995),", Nick Hornby,High Fidelity,2000,
"The History of Mr. Polly (1910),", H. G. Wells,The History of Mr. Polly,1949,https://archive.org/details/in.ernet.dli.2015.209763
"The History of Tom Jones, a Foundling (1749),", Henry Fielding,Tom Jones,1917,
"The History of Tom Jones, a Foundling (1749),", Henry Fielding,The Bawdy Adventures of Tom Jones,1976,https://www.imdb.com/title/tt0074189/
"The History of Tom Jones, a Foundling (1749),", Henry Fielding,The History of Tom Jones,,
"The History of Tom Jones, a Foundling (1749),", Henry Fielding,a Foundling,1997,
"A History of Violence (1997),", John Wagner,A History of Violence,2005,https://www.imdb.com/title/tt0399146/
"The Hitchhiker's Guide to the Galaxy (1979),", Douglas Adams,The Hitchhiker's Guide to the Galaxy,2004,/wiki/The_Hitchhiker%27s_Guide_to_the_Galaxy_(novel)
"The Hobbit (1937),", J. R. R. Tolkien,The Hobbit,1977,/wiki/The_Hobbit_(radio_series)
"The Hobbit (1937),", J. R. R. Tolkien,The Hobbit: An Unexpected Journey,2012,https://www.imdb.com/title/tt0903624/
"The Hobbit (1937),", J. R. R. Tolkien,The Hobbit: The Desolation of Smaug,2013,https://www.imdb.com/title/tt1170358/
"The Hobbit (1937),", J. R. R. Tolkien,The Hobbit: The Battle of the Five Armies,2014,https://www.imdb.com/title/tt2310332/
"The Holcroft Covenant (1978),", Robert Ludlum,The Holcroft Covenant,1985,
"The Holy Innocents (1988),", Gilbert Adair,The Dreamers,2003,
"Hombre (1961),", Elmore Leonard,Hombre,1967,
"The Home and the World (The Home and the World) (a.k.a. ঘরে বাইরে lit. At Home and Outside) (1916),", Rabindranath Tagore,Ghare Baire,1984,/wiki/Ghare_Baire_(film)
"The Honorary Consul (1973),", Graham Greene,The Honorary Consul,1983,
Horrid Henry (1994–2011) (series), Francesca Simon,Horrid Henry: The Movie,2011,https://www.imdb.com/title/tt1684555/
"Horseman, Pass By (1961),", Larry McMurtry,Hud,1963,
"The Host (2008),", Stephenie Meyer,The Host,2013,
"The Hot Rock (1970),", Donald E. Westlake,The Hot Rock,1972,
"The Hound of the Baskervilles (1901–1902) (serial),",", Arthur Conan Doyle",The Hound of the Baskervilles,1921,https://web.archive.org/web/20070113044027/http://sirconandoyle.com/canon/novels/hound/index.php
"The Hound of the Baskervilles (1901–1902) (serial),",", Arthur Conan Doyle",Bees Saal Baad,1962,
"The Hound of Florence (1923),", Felix Salten,The Shaggy Dog,1959,
"The Hound of Florence (1923),", Felix Salten,The Shaggy D.A.,1976,https://www.imdb.com/title/tt0075200/
"The Hound of Florence (1923),", Felix Salten,The Return of the Shaggy Dog,1987,https://www.imdb.com/title/tt0093852/
"The Hour Before Dawn (1942),", W. Somerset Maugham,The Hour Before the Dawn,1944,https://catalog.afi.com/Catalog/moviedetails/944
"The Hours (1998),", Michael Cunningham,The Hours,2002,
"How Green Was My Valley (1939),", Richard Llewellyn,How Green Was My Valley,1941,
"Howards End (1910),", E. M. Forster,Howards End,1992,https://www.gutenberg.org/ebooks/2891
"The Howling (1977),", Gary Brandner,The Howling,1981,/wiki/The_Howling_(film)
"The Howling (1977),", Gary Brandner,Howling II: Stirba - Werewolf Bitch,1985,
"The Howling (1977),", Gary Brandner,Howling III,1987,https://www.imdb.com/title/tt0093227/
"The Howling (1977),", Gary Brandner,Howling IV: The Original Nightmare,1988,https://www.imdb.com/title/tt0095334/
"The Howling (1977),", Gary Brandner,Howling V: The Rebirth,1990,https://www.imdb.com/title/tt0097534/
"The Howling (1977),", Gary Brandner,Howling VI: The Freaks,1992,https://www.imdb.com/title/tt0102067/
"The Howling (1977),", Gary Brandner,Howling: New Moon Rising,1994,https://www.imdb.com/title/tt0113349/
"The Human Stain (2000),", Philip Roth,The Human Stain,2003,/wiki/The_Human_Stain_(film)
"The Hunchback of Notre-Dame (Notre-Dame de Paris () ) (1831),", Victor Hugo,Esmeralda,1905,
"The Hunchback of Notre-Dame (Notre-Dame de Paris () ) (1831),", Victor Hugo,The Hunchback of Notre Dame,1911,/wiki/The_Hunchback_of_Notre_Dame_(1911_film)
"The Hunchback of Notre-Dame (Notre-Dame de Paris () ) (1831),", Victor Hugo,The Darling of Paris,1917,https://www.imdb.com/title/tt0007839/
"The Hunchback of Notre-Dame (Notre-Dame de Paris () ) (1831),", Victor Hugo,Kubra Aashiq,1973,
"The Hunchback of Notre-Dame (Notre-Dame de Paris () ) (1831),", Victor Hugo,The Hunchback of Notre Dame II,2002,https://www.bcdb.com/bcdb/cartoon.cgi?film=23328
"The Hunchback of Notre-Dame (Notre-Dame de Paris () ) (1831),", Victor Hugo,The Hunchback,1997,
"The Hunchback of Notre-Dame (Notre-Dame de Paris () ) (1831),", Victor Hugo,Quasimodo d'El Paris,1999,https://www.imdb.com/title/tt0163166/
"The Hundred and One Dalmatians (1956),", Dodie Smith,One Hundred and One Dalmatians,1961,https://www.allmovie.com/movie/v104843
"The Hundred and One Dalmatians (1956),", Dodie Smith,101 Dalmatians II: Patch's London Adventure,2003,https://www.allmovie.com/movie/v271620
"The Hundred and One Dalmatians (1956),", Dodie Smith,101 Dalmatians,1996,
"The Hundred and One Dalmatians (1956),", Dodie Smith,102 Dalmatians,2000,https://www.imdb.com/title/tt0211181/
The Hunger Games (2008), Suzanne Collins,The Hunger Games,2012,/wiki/The_Hunger_Games_(novel)
The Hunger Games (2008), Suzanne Collins,The Hunger Games: Catching Fire,2013,https://www.allmovie.com/movie/v546935
The Hunger Games (2008), Suzanne Collins,The Hunger Games: Mockingjay – Part 1,2014,https://www.imdb.com/title/tt1951265/
The Hunger Games (2008), Suzanne Collins,The Hunger Games: Mockingjay – Part 2,2015,https://www.imdb.com/title/tt1951266/
"The Hunt for Red October (1984),", Tom Clancy,The Hunt for Red October,1990,/wiki/The_Hunt_for_Red_October_(film)
"The Hunter (1962),", Donald E. Westlake (as Richard Stark),Point Blank,1967,
"The Hunter (1962),", Donald E. Westlake (as Richard Stark),Payback,1999,
"The Hunter (1962),", Donald E. Westlake (as Richard Stark),Full Contact,2003,https://www.imdb.com/title/tt0105851/
"The Hustler (1959),", Walter Tevis,The Hustler,1961,
"I Am Legend (1954),", Richard Matheson,The Last Man on Earth,1964,
"I Am Legend (1954),", Richard Matheson,The Omega Man,1971,https://www.imdb.com/title/tt0067525/
"I Am Legend (1954),", Richard Matheson,I Am Legend,2007,
"I Am Legend (1954),", Richard Matheson,I Am Ωmega,2007,
"I Am Number Four (2010),", Pittacus Lore,I Am Number Four,2011,https://www.facebook.com/IAmNumberFourBook
"I Know What You Did Last Summer (1973),", Lois Duncan,I Know What You Did Last Summer,1997,https://www.imdb.com/title/tt0119345/
"I Know What You Did Last Summer (1973),", Lois Duncan,I Still Know What You Did Last Summer,2000,https://www.imdb.com/title/tt0130018/
"I Know What You Did Last Summer (1973),", Lois Duncan,I'll Always Know What You Did Last Summer,2006,https://www.imdb.com/title/tt0469111/
"I Love You, Beth Cooper (2007),", Larry Doyle,I Love You,,
"I Love You, Beth Cooper (2007),", Larry Doyle,Beth Cooper,2009,
"Ice Station Zebra (1963),", Alistair MacLean,Ice Station Zebra,1968,https://catalog.afi.com/Catalog/moviedetails/22940
"If I Die Before I Wake (1938),", Sherwood King,The Lady from Shanghai,1947,https://www.imdb.com/title/tt0040525/
"The IPCRESS File (1962),", Len Deighton,The Ipcress File,1965,/wiki/The_Ipcress_File_(film)
"The Illustrated Man (1951),", Ray Bradbury,The Illustrated Man,1968,http://www.isfdb.org/cgi-bin/title.cgi?31723
"Im Westen Nichts Neues (All Quiet on the Western Front) (1929),", Erich Maria Remarque,All Quiet on the Western Front,1930,/wiki/All_Quiet_on_the_Western_Front_(1930_film)
"Im Westen Nichts Neues (All Quiet on the Western Front) (1929),", Erich Maria Remarque,The Road Back,1937,/wiki/The_Road_Back_(film)
"Imagining Argentina (1987),", Lawrence Thornton,Imagining Argentina,2003,
"Immortality, Inc. (1959),", Robert Sheckley,Freejack,1992,https://www.imdb.com/title/tt0104299/
"An Imperfect Lover (1928),", Robert Gore-Browne,Cynara,1932,https://species.wikimedia.org/wiki/Cynara
"In Country (1985),", Bobbie Ann Mason,In Country,1989,https://www.imdb.com/title/tt0097570/
"The Incredible Journey (1961),", Sheila Burnford,The Incredible Journey,1963,
"The Incredible Journey (1961),", Sheila Burnford,Homeward Bound: The Incredible Journey,1993,https://www.imdb.com/title/tt0107131/
"The Incredible Journey (1961),", Sheila Burnford,Homeward Bound II: Lost in San Francisco,1996,https://www.imdb.com/title/tt0116552/
"Incubus (1976),", Ray Russell,The Incubus,1981,https://www.imdb.com/title/tt0084133/
"Indian Country (1953),", Dorothy M. Johnson,A Man Called Horse,1970,
"Indian Country (1953),", Dorothy M. Johnson,The Return of a Man Called Horse,1976,https://www.imdb.com/title/tt0075132/
"Indian Country (1953),", Dorothy M. Johnson,Triumphs of a Man Called Horse,1983,https://www.imdb.com/title/tt0084826/
"The Innocent (1990),", Ian McEwan,The Innocent,1993,
"In Search of the Castaways (The Children of Captain Grant) (1867–1868) (serial),",", Jules Verne",Captain Grant's Children),,
"In Search of the Castaways (The Children of Captain Grant) (1867–1868) (serial),",", Jules Verne",In Search of the Castaways,1962,/wiki/In_Search_of_the_Castaways_(film)
"In Search of the Castaways (The Children of Captain Grant) (1867–1868) (serial),",", Jules Verne",V poiskakh kapitana Granta,1985,
"Instruct My Sorrows (1942),", Clare Jaynes,My Reputation,1946,https://www.imdb.com/title/tt0038765/
"Interview with the Vampire (1976),", Anne Rice,Interview with the Vampire,1994,http://www.annerice.com/Bookshelf-Interview.html
